"gene_names","gene_ids"
"slc45a1","ENSPFOG00000014195"
"fam213b","ENSPFOG00000014245"
"MMEL1","ENSPFOG00000014281"
"MIIP","ENSPFOG00000014370"
"tnfrsf1b","ENSPFOG00000014384"
"trim62","ENSPFOG00000014401"
"si:ch211-193i15.1","ENSPFOG00000023748"
"znf362a","ENSPFOG00000014429"
"A3GALT2(2of2)","ENSPFOG00000014475"
"si:dkey-264d12.5","ENSPFOG00000014486"
"EMP3","ENSPFOG00000014491"
"fam83e","ENSPFOG00000014523"
"utp3","ENSPFOG00000014528"
"ppcs","ENSPFOG00000014581"
"foxj3","ENSPFOG00000014598"
"prdm2b","ENSPFOG00000014653"
"kaznb","ENSPFOG00000014673"
"tmem51b","ENSPFOG00000014759"
"skib","ENSPFOG00000014766"
"plch2b","ENSPFOG00000014796"
"si:dkey-183j2.10","ENSPFOG00000014893"
"brpf3a","ENSPFOG00000014928"
"mon1bb","ENSPFOG00000014980"
"glyctk","ENSPFOG00000014999"
"tcta","ENSPFOG00000015019"
"wdr82","ENSPFOG00000015028"
"ensembl","ENSPFOG00000021165"
"hemk1","ENSPFOG00000015175"
"cish","ENSPFOG00000015167"
"nprl2","ENSPFOG00000021879"
"zmynd10","ENSPFOG00000015232"
"RASSF1(1of2)","ENSPFOG00000015331"
"tusc2a","ENSPFOG00000015404"
"HYAL2(1of5)","ENSPFOG00000015422"
"hyal1","ENSPFOG00000015447"
"cacna2d2a","ENSPFOG00000015570"
"abhd14b","ENSPFOG00000015914"
"mst1","ENSPFOG00000015941"
"hmga2","ENSPFOG00000016057"
"C3orf18","ENSPFOG00000016059"
"gnb1a(2of2)","ENSPFOG00000016073"
"tardbp","ENSPFOG00000016117"
"apitd1","ENSPFOG00000016125"
"rbp7b","ENSPFOG00000016145"
"h6pd","ENSPFOG00000016162"
"epha2a","ENSPFOG00000016192"
"rsg1","ENSPFOG00000016304"
"si:ch73-15b2.5","ENSPFOG00000016309"
"ddi2","ENSPFOG00000016325"
"si:ch73-361p23.3","ENSPFOG00000016355"
"arl8ba","ENSPFOG00000016361"
"sema3fa(1of2)","ENSPFOG00000016395"
"rbm6","ENSPFOG00000016407"
"camkva","ENSPFOG00000016431"
"MST1R(2of2)","ENSPFOG00000016463"
"uba7","ENSPFOG00000016531"
"fam212ab","ENSPFOG00000020366"
"gnai2b","ENSPFOG00000016642"
"slc38a3b","ENSPFOG00000016665"
"rbm5(1of2)","ENSPFOG00000016752"
"rbm5(2of2)","ENSPFOG00000016788"
"brk1","ENSPFOG00000016921"
"gpx1a","ENSPFOG00000016923"
"TEX264","ENSPFOG00000016925"
"GRM2(2of2)","ENSPFOG00000016927"
"rrp9","ENSPFOG00000016947"
"ensembl","ENSPFOG00000016991"
"si:ch211-213o11.11","ENSPFOG00000016992"
"zgc:172270","ENSPFOG00000016995"
"oxtrl","ENSPFOG00000016999"
"srgap3(2of2)","ENSPFOG00000017034"
"ptgis","ENSPFOG00000017222"
"kcnb1","ENSPFOG00000017250"
"stau1","ENSPFOG00000017253"
"pbrm1l","ENSPFOG00000017300"
"camk1a","ENSPFOG00000017343"
"C3orf67","ENSPFOG00000017372"
"ca16b","ENSPFOG00000017406"
"cadpsb","ENSPFOG00000017467"
"synpr","ENSPFOG00000017471"
"ensembl","ENSPFOG00000017487"
"ensembl","ENSPFOG00000017510"
"slc6a13l","ENSPFOG00000017541"
"slc6a13","ENSPFOG00000017791"
"fkbp5","ENSPFOG00000017970"
"SRSF3(2of2)","ENSPFOG00000018005"
"rab44","ENSPFOG00000024194"
"trub2","ENSPFOG00000018018"
"hdhd3","ENSPFOG00000018032"
"tgfa","ENSPFOG00000022903"
"slc2a11a","ENSPFOG00000018035"
"patz1","ENSPFOG00000018058"
"eif4enif1","ENSPFOG00000018072"
"sfi1","ENSPFOG00000018097"
"zgc:172271","ENSPFOG00000018133"
"sirt4","ENSPFOG00000018154"
"C1orf74","ENSPFOG00000020367"
